Expression	Value	Location	Type	
Xnormal	Error (col 1): Unknown or ambiguous symbol. Xnormal			
ADC_buffer1	<array>	0x20000000	uint16_t[3000]	
[601]	107	0x200004B2	uint16_t	
[602]	131	0x200004B4	uint16_t	
[603]	89	0x200004B6	uint16_t	
[604]	99	0x200004B8	uint16_t	
[605]	120	0x200004BA	uint16_t	
[606]	143	0x200004BC	uint16_t	
[607]	120	0x200004BE	uint16_t	
[608]	144	0x200004C0	uint16_t	
[609]	100	0x200004C2	uint16_t	
[610]	122	0x200004C4	uint16_t	
[611]	151	0x200004C6	uint16_t	
[612]	132	0x200004C8	uint16_t	
[613]	92	0x200004CA	uint16_t	
[614]	110	0x200004CC	uint16_t	
[615]	148	0x200004CE	uint16_t	
[616]	114	0x200004D0	uint16_t	
[617]	138	0x200004D2	uint16_t	
[618]	96	0x200004D4	uint16_t	
[619]	106	0x200004D6	uint16_t	
[620]	128	0x200004D8	uint16_t	
[621]	76	0x200004DA	uint16_t	
[622]	87	0x200004DC	uint16_t	
[623]	115	0x200004DE	uint16_t	
[624]	144	0x200004E0	uint16_t	
[625]	100	0x200004E2	uint16_t	
[626]	123	0x200004E4	uint16_t	
[627]	154	0x200004E6	uint16_t	
[628]	119	0x200004E8	uint16_t	
[629]	164	0x200004EA	uint16_t	
[630]	138	0x200004EC	uint16_t	
[631]	96	0x200004EE	uint16_t	
[632]	107	0x200004F0	uint16_t	
[633]	130	0x200004F2	uint16_t	
[634]	85	0x200004F4	uint16_t	
[635]	106	0x200004F6	uint16_t	
[636]	126	0x200004F8	uint16_t	
[637]	171	0x200004FA	uint16_t	
[638]	147	0x200004FC	uint16_t	
[639]	111	0x200004FE	uint16_t	
[640]	152	0x20000500	uint16_t	
[641]	112	0x20000502	uint16_t	
[642]	131	0x20000504	uint16_t	
[643]	88	0x20000506	uint16_t	
[644]	96	0x20000508	uint16_t	
[645]	107	0x2000050A	uint16_t	
[646]	132	0x2000050C	uint16_t	
[647]	91	0x2000050E	uint16_t	
[648]	107	0x20000510	uint16_t	
[649]	131	0x20000512	uint16_t	
[650]	89	0x20000514	uint16_t	
[651]	99	0x20000516	uint16_t	
[652]	119	0x20000518	uint16_t	
[653]	164	0x2000051A	uint16_t	
[654]	138	0x2000051C	uint16_t	
[655]	96	0x2000051E	uint16_t	
[656]	107	0x20000520	uint16_t	
[657]	131	0x20000522	uint16_t	
[658]	88	0x20000524	uint16_t	
[659]	96	0x20000526	uint16_t	
[660]	106	0x20000528	uint16_t	
[661]	128	0x2000052A	uint16_t	
[662]	76	0x2000052C	uint16_t	
[663]	87	0x2000052E	uint16_t	
[664]	116	0x20000530	uint16_t	
[665]	146	0x20000532	uint16_t	
[666]	107	0x20000534	uint16_t	
[667]	131	0x20000536	uint16_t	
[668]	88	0x20000538	uint16_t	
[669]	96	0x2000053A	uint16_t	
[670]	107	0x2000053C	uint16_t	
[671]	131	0x2000053E	uint16_t	
[672]	88	0x20000540	uint16_t	
[673]	96	0x20000542	uint16_t	
[674]	107	0x20000544	uint16_t	
[675]	131	0x20000546	uint16_t	
[676]	89	0x20000548	uint16_t	
[677]	99	0x2000054A	uint16_t	
[678]	119	0x2000054C	uint16_t	
[679]	164	0x2000054E	uint16_t	
[680]	138	0x20000550	uint16_t	
[681]	96	0x20000552	uint16_t	
[682]	107	0x20000554	uint16_t	
[683]	130	0x20000556	uint16_t	
[684]	84	0x20000558	uint16_t	
[685]	100	0x2000055A	uint16_t	
[686]	121	0x2000055C	uint16_t	
[687]	148	0x2000055E	uint16_t	
[688]	114	0x20000560	uint16_t	
[689]	139	0x20000562	uint16_t	
