Expression	Value	Location	Type	
sinus	Error (col 1): Unknown or ambiguous symbol. sinus			
GPIOB_DATA	Error (col 1): Unknown or ambiguous symbol. GPIOB_DATA			
DATA	Error (col 1): Unknown or ambiguous symbol. DATA			
tempc	Error (col 1): Unknown or ambiguous symbol. tempc			
adc_buffer	<array>	0x20000000	uint16_t[3000]	
[575]	1270	0x2000047E	uint16_t	
[576]	1243	0x20000480	uint16_t	
[577]	1230	0x20000482	uint16_t	
[578]	1232	0x20000484	uint16_t	
[579]	1250	0x20000486	uint16_t	
[580]	1247	0x20000488	uint16_t	
[581]	1269	0x2000048A	uint16_t	
[582]	1256	0x2000048C	uint16_t	
[583]	1254	0x2000048E	uint16_t	
[584]	1242	0x20000490	uint16_t	
[585]	1228	0x20000492	uint16_t	
[586]	1233	0x20000494	uint16_t	
[587]	1245	0x20000496	uint16_t	
[588]	1271	0x20000498	uint16_t	
[589]	1276	0x2000049A	uint16_t	
[590]	1283	0x2000049C	uint16_t	
[591]	1263	0x2000049E	uint16_t	
[592]	1247	0x200004A0	uint16_t	
[593]	1237	0x200004A2	uint16_t	
[594]	1240	0x200004A4	uint16_t	
[595]	1239	0x200004A6	uint16_t	
[596]	1268	0x200004A8	uint16_t	
[597]	1276	0x200004AA	uint16_t	
[598]	1269	0x200004AC	uint16_t	
[599]	1258	0x200004AE	uint16_t	
[600]	1239	0x200004B0	uint16_t	
[601]	1231	0x200004B2	uint16_t	
[602]	1237	0x200004B4	uint16_t	
[603]	1260	0x200004B6	uint16_t	
[604]	1261	0x200004B8	uint16_t	
[605]	1264	0x200004BA	uint16_t	
[606]	1262	0x200004BC	uint16_t	
[607]	1253	0x200004BE	uint16_t	
[608]	1241	0x200004C0	uint16_t	
[609]	1246	0x200004C2	uint16_t	
[610]	1236	0x200004C4	uint16_t	
[611]	1241	0x200004C6	uint16_t	
[612]	1257	0x200004C8	uint16_t	
[613]	1269	0x200004CA	uint16_t	
[614]	1280	0x200004CC	uint16_t	
[615]	1257	0x200004CE	uint16_t	
[616]	1231	0x200004D0	uint16_t	
[617]	1200	0x200004D2	uint16_t	
[618]	1208	0x200004D4	uint16_t	
[619]	1269	0x200004D6	uint16_t	
[620]	1356	0x200004D8	uint16_t	
[621]	1360	0x200004DA	uint16_t	
[622]	1272	0x200004DC	uint16_t	
[623]	1155	0x200004DE	uint16_t	
[624]	1081	0x200004E0	uint16_t	
[625]	1120	0x200004E2	uint16_t	
[626]	1258	0x200004E4	uint16_t	
[627]	1407	0x200004E6	uint16_t	
